sku_id,generated_name,raw_cnt,valid_cnt,valid_ratio,avg_sentiment_before,avg_sentiment_after,topic_-1_ratio_before,topic_-1_ratio_after
5001213,小米 mix2 手机,96,80,0.8333,0.7966,0.7723,0.6042,0.525
7534113,vivo y83 手机,96,78,0.8125,0.9267,0.9198,0.5417,0.3462
5089275,三星 mate10 手机,95,79,0.8316,0.9613,0.96,0.5263,0.4051
7283905,小米6x 手机,94,78,0.8298,0.8896,0.9043,0.4787,0.4103
5089267,小米6 手机,94,80,0.8511,0.888,0.8822,0.3404,0.2875
7321794,华为 p20 手机,93,78,0.8387,0.9619,0.9571,0.5699,0.5256
5663902,华为 荣耀6p 手机,93,75,0.8065,0.9485,0.9445,0.5591,0.3867
5942439,手机（电池耐用、id、1g、声音大、声音很大、适合老年人用）,93,73,0.7849,0.8503,0.8686,0.2688,0.2192
