sku_id,cat,rank_v1,recommend_index,rank_v2,recommend_score,rank_change
大连银帆宾馆,酒店,110,84.29,18,88.53,92
南阳某酒店,酒店,111,84.29,1985,61.31,-1874
苹果,水果,112,84.29,1938,64.54,-1826
博鳌某酒店,酒店,113,84.29,1681,77.13,-1568
甘肃天水红富士苹果,水果,114,84.29,130,87.64,-16
华君酒店,酒店,115,84.29,1901,67.22,-1786
北戴河某酒店,酒店,116,84.29,2243,40.99,-2127
粤海酒店,酒店,117,84.29,119,87.69,-2
索尼W800,手机,118,84.29,1902,67.05,-1784
缙云某酒店,酒店,119,84.29,1789,73.02,-1670
蒙牛优酸乳,蒙牛,120,84.29,1955,63.02,-1835
芜湖某酒店,酒店,121,84.29,2265,38.25,-2144
荣耀畅玩平板2,平板,122,84.29,453,86.55,-331
蒙牛冰砖,蒙牛,123,84.29,1338,84.01,-1215
蒙牛酸酸乳,蒙牛,124,83.69,1785,73.24,-1661
北京国贸大酒店,酒店,125,83.42,1708,76.01,-1583
阳光玫瑰葡萄,水果,126,82.99,1464,82.41,-1338
蒙牛冠益乳,蒙牛,127,82.96,1584,79.92,-1457
杭州某酒店,酒店,128,82.44,1555,80.72,-1427
万豪酒店,酒店,129,82.41,1695,76.61,-1566
丽江某酒店,酒店,130,82.41,1748,74.73,-1618
蒙牛香蕉牛奶,蒙牛,131,82.41,1922,65.9,-1791
香港某酒店,酒店,132,82.01,1690,76.78,-1558
济南某酒店,酒店,133,81.67,892,86.02,-759
滋源生姜洗发水,洗发水,134,81.67,1843,70.61,-1709
蒙牛真果粒,蒙牛,135,81.67,1817,71.75,-1682
清扬洗发水,洗发水,136,81.61,1606,79.3,-1470
打底衫,衣服,137,81.22,1980,61.72,-1843
乌鲁木齐某酒店,酒店,138,81.22,1754,74.47,-1616
清扬去屑洗发水,洗发水,139,81.22,457,86.54,-318
蒙牛优益C,蒙牛,140,81.19,1668,77.58,-1528
大理某酒店,酒店,141,80.7,1688,76.85,-1547
威海某酒店,酒店,142,80.18,1680,77.31,-1538
美的热水器,热水器,143,80.15,1092,85.58,-949
华为平板M3,平板,144,80.09,1732,75.41,-1588
联想ThinkPad X200,计算机,145,80.09,1518,81.48,-1373
三亚某酒店,酒店,146,80.03,1676,77.36,-1530
潘婷洗发水,洗发水,147,79.99,1568,80.24,-1421
厦门某酒店,酒店,148,79.49,1751,74.54,-1603
大同某酒店,酒店,149,79.36,1324,84.19,-1175
沙宣修护水养,洗发水,150,79.36,1530,81.28,-1380
西安某酒店,酒店,151,79.36,1619,78.97,-1468
潘苹果 甘肃天水红富士苹果,水果,152,79.29,1962,62.63,-1810
滋源洗发水,洗发水,153,78.77,1842,70.65,-1689
蒙牛纯牛奶,蒙牛,154,78.55,1888,68.0,-1734
休闲裤,衣服,155,78.46,1450,82.62,-1295
东莞某酒店,酒店,156,78.46,1943,64.0,-1787
宜昌某酒店,酒店,157,78.46,1654,77.89,-1497
秦皇岛某酒店,酒店,158,78.46,1758,74.14,-1600
外套,衣服,159,78.46,1595,79.53,-1436
T恤,衣服,160,78.28,1658,77.76,-1498
黄山某酒店,酒店,161,78.17,1933,64.98,-1772
洛阳某酒店,酒店,162,78.13,1776,73.51,-1614
美的电热水器,热水器,163,77.55,1,92.01,162
无法确定,书籍,164,77.47,1724,75.65,-1560
敦煌某酒店,酒店,165,77.44,1501,81.82,-1336
华为M3,平板,166,77.4,1930,65.17,-1764
青岛某酒店,酒店,167,77.38,1828,71.46,-1661
海口某酒店,酒店,168,77.32,2285,36.44,-2117
烟台某酒店,酒店,169,77.32,2229,42.83,-2060
蒙牛未来星,蒙牛,170,77.32,1940,64.4,-1770
戴尔电脑,计算机,171,77.32,1997,59.57,-1826
石家庄某酒店,酒店,172,77.32,1517,81.5,-1345
南先生的作品,书籍,173,77.25,1552,80.79,-1379
富士苹果,水果,174,77.15,1659,77.74,-1485
太原某酒店,酒店,175,77.13,1824,71.55,-1649
牛仔裤,衣服,176,76.76,1549,80.8,-1373
裤子,衣服,177,76.65,1371,83.61,-1194
长沙某酒店,酒店,178,76.54,1879,68.84,-1701
华为M2平板,平板,179,76.23,1553,80.78,-1374
iPhone手机,手机,180,75.84,1906,66.78,-1726
三星酒店,酒店,181,75.84,2313,31.36,-2132
iPad,平板,182,75.84,2048,55.73,-1866
ACER电脑,计算机,183,75.84,1527,81.3,-1344
花花公子牛仔裤,衣服,184,75.84,1642,78.3,-1458
南昌某酒店,酒店,185,75.84,1927,65.51,-1742
蒙牛奶特,蒙牛,186,75.84,1729,75.55,-1543
安庆某酒店,酒店,187,75.84,1813,71.87,-1626
MacBook电脑,计算机,188,75.84,1915,66.38,-1727
沙宣洗发水,洗发水,189,75.81,1795,72.9,-1606
联想ThinkPad,计算机,190,75.28,1647,78.13,-1457
徐州某酒店,酒店,191,75.07,1677,77.35,-1486
华为M3平板,平板,192,74.55,1875,68.98,-1683
苹果iPad Pro,平板,193,74.2,1460,82.5,-1267
班尼路T恤,衣服,194,74.14,1814,71.84,-1620
华为荣耀平板,平板,195,74.07,1665,77.64,-1470
重庆某酒店,酒店,196,73.9,1883,68.64,-1687
扬州某酒店,酒店,197,73.81,2282,36.97,-2085
清扬去屑,洗发水,198,73.81,1876,68.94,-1678
Gateway电脑,计算机,199,73.81,1598,79.44,-1399
淄博某酒店,酒店,200,73.81,2001,59.11,-1801
蒙牛老酸奶,蒙牛,201,73.81,1818,71.73,-1617
九华山某酒店,酒店,202,73.81,1797,72.81,-1595
南通某酒店,酒店,203,73.81,2037,56.48,-1834
绍兴某酒店,酒店,204,73.81,103,87.8,101
柳州某酒店,酒店,205,73.25,1747,74.74,-1542
蒙牛纯甄酸奶,蒙牛,206,72.83,1865,69.34,-1659
iPad平板,平板,207,72.77,1993,60.3,-1786
华圣苹果,水果,208,72.32,1886,68.32,-1678
大连某酒店,酒店,209,72.05,1841,70.73,-1632
武汉某酒店,酒店,210,71.58,2065,54.3,-1855
郑州某酒店,酒店,211,71.54,1738,75.1,-1527
MacBook Pro M3,计算机,212,71.52,1755,74.42,-1543
长春某酒店,酒店,213,71.41,1884,68.56,-1671
烟台富士苹果,水果,214,71.36,1851,70.18,-1637
三星电脑,计算机,215,71.3,1804,72.28,-1589
华为平板,平板,216,71.16,1858,69.8,-1642
江门某酒店,酒店,217,70.82,2216,43.62,-1999
诺基亚N70,手机,218,70.82,1816,71.82,-1598
蚌埠某酒店,酒店,219,70.82,2199,45.34,-1980
安吉某酒店,酒店,220,70.82,1439,82.74,-1219
义乌某酒店,酒店,221,70.82,1719,75.75,-1498
索尼电脑,计算机,222,70.82,1808,71.99,-1586
周庄某酒店,酒店,223,70.82,1650,78.0,-1427
猕猴桃,水果,224,70.82,1707,76.04,-1483
沙田某酒店,酒店,225,70.82,1717,75.83,-1492
嘉峪关某酒店,酒店,226,70.82,1791,72.97,-1565
夏新手机,手机,227,70.82,1775,73.52,-1548
宝洁洗发水,洗发水,228,70.82,1869,69.26,-1641
慈溪某酒店,酒店,229,70.82,1921,65.91,-1692
协程某酒店,酒店,230,70.82,1709,75.98,-1479
喜来登某酒店,酒店,231,70.82,2047,55.82,-1816
阳朔某酒店,酒店,232,70.77,461,86.54,-229
花花公子服装,衣服,233,70.7,1874,69.02,-1641
天津某酒店,酒店,234,70.38,2077,53.23,-1843
北京某酒店,酒店,235,70.24,1878,68.89,-1643
哈尔滨某酒店,酒店,236,69.86,2034,56.55,-1798
深圳某酒店,酒店,237,69.58,1853,70.07,-1616
夹克,衣服,238,69.47,1661,77.72,-1423
Sony电脑,计算机,239,69.47,1334,84.05,-1095
潘婷修护,洗发水,240,69.18,1926,65.54,-1686
银川某酒店,酒店,241,69.09,2064,54.63,-1823
西宁某酒店,酒店,242,68.98,1880,68.76,-1638
班尼路服装,衣服,243,68.94,1768,73.88,-1525
成都某酒店,酒店,244,68.82,1711,75.96,-1467
潘苹果,水果,245,68.35,1957,62.89,-1712
IBM电脑,计算机,246,68.32,1767,73.91,-1521
三星平板,平板,247,67.96,1885,68.53,-1638
苏州某酒店,酒店,248,67.63,1910,66.51,-1662
羽绒服,衣服,249,66.73,1882,68.66,-1633
宜宾某酒店,酒店,250,66.67,1900,67.24,-1650
阿克苏苹果,水果,251,66.67,2248,39.44,-1997
连云港某酒店,酒店,252,66.67,2057,55.07,-1805
乐山某酒店,酒店,253,66.67,1998,59.54,-1745
香格里拉酒店,酒店,254,66.67,2002,59.06,-1748
洛川苹果,水果,255,66.67,2151,48.65,-1896
艾米的作品,书籍,256,65.95,2302,33.46,-2046
荣耀X2,平板,257,65.95,1969,62.43,-1712
陕西富士苹果,水果,258,65.95,2267,38.1,-2009
莆田某酒店,酒店,259,65.95,2038,56.23,-1779
匪我思存的作品,书籍,260,65.95,1959,62.76,-1699
ASUS电脑,计算机,261,65.95,1871,69.16,-1610
潍坊某酒店,酒店,262,65.95,2366,26.52,-2104
四川某酒店,酒店,263,65.95,2215,43.68,-1952
摩托罗拉A1200,手机,264,65.95,2442,23.23,-2178
宏辉苹果,水果,265,65.95,2000,59.12,-1735
龙岩某酒店,酒店,266,65.95,1452,82.6,-1186
HP 541,计算机,267,65.95,1868,69.26,-1601
联想SL400,计算机,268,65.95,2068,54.17,-1800
东莞海悦酒店,酒店,269,65.95,1024,85.81,-755
嘉兴某酒店,酒店,270,65.95,2082,52.05,-1812
清扬男士,洗发水,271,65.95,2266,38.23,-1995
盐城某酒店,酒店,272,65.95,1803,72.53,-1531
父母是孩子最好的医生,书籍,273,65.95,1973,62.31,-1700
潮州某酒店,酒店,274,65.95,2280,37.02,-2006
班尼路短袖,衣服,275,65.95,2202,45.15,-1927
临安某酒店,酒店,276,65.95,1154,85.33,-878
联想R系列电脑,计算机,277,65.95,2447,22.96,-2170
包头某酒店,酒店,278,65.95,2256,38.72,-1978
