sku_id,generated_name,recommend_index,rank_v1,recommend_index_v2,rank_v2,aspect_sentiment_mean,aspect_positive_ratio,absa_confidence_mean,rank_change,score_change
5089267,小米6 手机,85.51,12,83.19,35,0.7451419297685015,0.7127659574468085,0.8644739221385185,-23,-2.3200000000000074
7283905,小米6x 手机,83.01,19,82.88,37,0.7878481320878292,0.7978723404255319,0.9076653471652496,-18,-0.13000000000000966
29002078202,华为 手机（手机不错、手机很漂亮、值得购买、还不错、还可以吧、帮朋友买的）,82.27,28,82.44,43,0.7965125585424488,0.7586206896551724,0.9121793446869686,-15,0.1700000000000017
28409652238,小米 手机（手机收到了、手机已收到、物流也很快、给妈妈买的、给老妈买的、妈妈很喜欢）,81.67,31,82.41,44,0.8367495508421035,0.7619047619047619,0.8862157918158031,-13,0.7399999999999949
5402840,手机（给老人买的、给家里老人买的、老人用、声音大、声音很大、适合老年人用）,81.41,34,81.34,45,0.7921158917892126,0.7654320987654321,0.8924036088549061,-11,-0.06999999999999318
30323689521,华为 mate9 手机,83.55,18,83.73,28,0.8579740544160207,0.8333333333333334,0.9023132065931956,-10,0.18000000000000682
5089275,三星 mate10 手机,87.79,5,86.21,14,0.8115998409296337,0.8105263157894737,0.8674423697747682,-9,-1.5800000000000125
5375693,手机（声音大、声音很大、适合老年人用、物流很快、物流也很快、包装完整）,84.83,15,84.06,24,0.7773643201764893,0.7647058823529411,0.8695403766982696,-9,-0.769999999999996
21135280362,华为 手机（还不错、还可以吧、帮朋友买的、给老爸买的、老爸很喜欢、给爸爸买的）,79.9,43,80.1,50,0.8237375048073855,0.8181818181818182,0.8922617489641363,-7,0.19999999999998863
7081550,荣耀10 手机,86.96,7,86.77,13,0.8578139265159984,0.8681318681318682,0.900706444795315,-6,-0.18999999999999773
7437768,小米 红米6a 手机,82.3,27,83.34,32,0.8601935761778251,0.8260869565217391,0.9017575684448949,-5,1.0400000000000063
8484451,小米 手机（2246、1号凌晨买的、5g）,81.2,36,82.55,41,0.8380962579678266,0.8205128205128205,0.8891460032035143,-5,1.3499999999999943
28328600610,手机（还不错、还可以吧、帮朋友买的）,93.28,1,88.09,6,0.760689377784729,0.8,0.7611778497695922,-5,-5.189999999999998
5942439,手机（电池耐用、id、1g、声音大、声音很大、适合老年人用）,78.92,48,79.66,53,0.773053099391281,0.7741935483870968,0.9003862969336971,-5,0.7399999999999949
5853593,华为 荣耀8 手机,87.96,3,87.93,7,0.8422250345585838,0.8412698412698413,0.8883208438517556,-4,-0.029999999999986926
7321794,华为 p20 手机,84.41,16,85.1,20,0.8616454562833232,0.8387096774193549,0.9063271559694762,-4,0.6899999999999977
21845662740,华为 note2 手机,81.03,38,82.47,42,0.7927609707998193,0.8260869565217391,0.9235116787578748,-4,1.4399999999999977
7437788,小米8 手机,89.49,2,88.18,5,0.8072135301887012,0.8032786885245902,0.8521770722553378,-3,-1.309999999999988
29242522476,小米 手机（支持小米、运行很流畅、性价比很高、手机不错、手机很漂亮、值得购买）,78.07,52,78.91,55,0.8252010842164358,0.75,0.9392667015393577,-3,0.8400000000000034
11107032701,小米 手机（给老人买的、给家里老人买的、老人用、还不错、还可以吧、帮朋友买的）,79.04,46,80.22,49,0.7896367223425345,0.7727272727272727,0.8658760806376283,-3,1.1799999999999926
