sku_id,absa_comment_count,aspect_sentiment_mean,aspect_positive_ratio,aspect_negative_ratio,aspect_neutral_ratio,absa_confidence_mean
1592994,36,0.8507620212104585,0.8611111111111112,0.05555555555555555,0.08333333333333333,0.8963690681589974
3901175,86,0.6001538149146146,0.5581395348837209,0.3372093023255814,0.10465116279069768,0.8680044752220775
5001213,96,0.7353899373362461,0.6979166666666666,0.20833333333333334,0.09375,0.863778085137407
5019352,80,0.8185198757797479,0.8,0.1375,0.0625,0.9108344431966543
5089253,60,0.8543040166298549,0.9166666666666666,0.06666666666666667,0.016666666666666666,0.9015481700499852
5089267,94,0.7451419297685015,0.7127659574468085,0.1595744680851064,0.1276595744680851,0.8644739221385185
5089275,95,0.8115998409296337,0.8105263157894737,0.08421052631578947,0.10526315789473684,0.8674423697747682
5375693,68,0.7773643201764893,0.7647058823529411,0.16176470588235295,0.07352941176470588,0.8695403766982696
5402840,81,0.7921158917892126,0.7654320987654321,0.1111111111111111,0.12345679012345678,0.8924036088549061
5663902,93,0.8832510620035151,0.8709677419354839,0.07526881720430108,0.053763440860215055,0.9146338912748522
5853593,63,0.8422250345585838,0.8412698412698413,0.09523809523809523,0.06349206349206349,0.8883208438517556
5920651,49,0.7730122841134364,0.7551020408163265,0.1836734693877551,0.061224489795918366,0.9236736285443209
5942439,93,0.773053099391281,0.7741935483870968,0.15053763440860216,0.07526881720430108,0.9003862969336971
6176077,67,0.8373260097717171,0.8507462686567164,0.1044776119402985,0.04477611940298507,0.940385270474562
6610412,90,0.8995059238539802,0.9,0.05555555555555555,0.044444444444444446,0.936361066169209
7081550,91,0.8578139265159984,0.8681318681318682,0.03296703296703297,0.0989010989010989,0.900706444795315
7283905,94,0.7878481320878292,0.7978723404255319,0.13829787234042554,0.06382978723404255,0.9076653471652497
7321794,93,0.8616454562833232,0.8387096774193549,0.08602150537634409,0.07526881720430108,0.9063271559694762
7437768,92,0.8601935761778251,0.8260869565217391,0.05434782608695652,0.11956521739130435,0.9017575684448947
7437788,61,0.8072135301887012,0.8032786885245902,0.09836065573770492,0.09836065573770492,0.8521770722553378
7479912,60,0.859189435839653,0.8333333333333334,0.05,0.11666666666666667,0.908403221766154
7534113,96,0.8734601015845934,0.875,0.07291666666666667,0.052083333333333336,0.925736573835214
7651903,55,0.879191640290347,0.8545454545454545,0.09090909090909091,0.05454545454545454,0.9400848171927713
7651927,85,0.8601032488486346,0.8705882352941177,0.023529411764705882,0.10588235294117647,0.8818440437316895
7694047,83,0.8699766742177757,0.8674698795180723,0.04819277108433735,0.08433734939759036,0.9221815158085651
7846413,62,0.8915918041621486,0.9516129032258065,0.03225806451612903,0.016129032258064516,0.9241921925737012
8239683,79,0.7674050859258145,0.7088607594936709,0.13924050632911392,0.1518987341772152,0.8966008583201638
8240587,92,0.9191844631796298,0.9239130434782609,0.03260869565217391,0.043478260869565216,0.9472529272670331
8344046,72,0.8677885217799081,0.8888888888888888,0.08333333333333333,0.027777777777777776,0.9267391413450241
