sku_id,total_comments,effective_comments,effective_ratio,avg_sentiment,std_sentiment,n_sentiment,pos_ratio,neg_ratio,avg_rating_norm,topic_top1_ratio,volume_factor,generated_name,brand_guess,model_guess,absa_comment_count,aspect_sentiment_mean,aspect_positive_ratio,aspect_negative_ratio,aspect_neutral_ratio,absa_confidence_mean,recommend_index_v2
7846413,62,62,1.0,0.8992424378952673,0.2188197320858994,62,0.9032258064516128,0.0967741935483871,0.9475806451612904,0.5333333333333333,0.9428109372903556,小米8 手机,小米,小米8,62,0.8915918041621486,0.9516129032258064,0.032258064516129,0.0161290322580645,0.9241921925737012,89.85
20349124505,50,49,0.98,0.9832414218357632,0.0460628469215858,49,1.0,0.0,1.0,0.2727272727272727,0.8902191987518279,华为 mate10 手机,华为,mate10,50,0.9246390211582184,0.92,0.04,0.04,0.9489632415771484,88.96
28672267256,21,21,1.0,0.9814546562376476,0.0517869160876967,21,1.0,0.0,1.0,0.3076923076923077,0.7033970230538988,华为 手机（屏幕大、屏幕分辨率挺高的、也好看、手机不错、手机很漂亮、值得购买）,华为,,21,0.9421178982371377,0.9523809523809524,0.0476190476190476,0.0,0.9861314325105576,88.4
7651903,55,52,0.9454545454545454,0.9617413505911828,0.1154461483418933,52,0.9615384615384616,0.0384615384615384,1.0,0.4285714285714285,0.9034788602186172,小米 红米6 手机,小米,红米6,55,0.879191640290347,0.8545454545454545,0.0909090909090909,0.0545454545454545,0.9400848171927711,88.2
7437788,61,59,0.9672131147540984,0.8937646986806166,0.2514683867334067,59,0.9152542372881356,0.0847457627118644,0.9576271186440678,0.7142857142857143,0.9317082569652104,小米8 手机,小米,小米8,61,0.8072135301887012,0.8032786885245902,0.0983606557377049,0.0983606557377049,0.8521770722553378,88.18
28328600610,5,5,1.0,0.9799959301948548,0.0137283789851797,5,1.0,0.0,1.0,1.0,0.4077324383928643,手机（还不错、还可以吧、帮朋友买的）,,,5,0.760689377784729,0.8,0.0,0.2,0.7611778497695922,88.09
5853593,63,63,1.0,0.9441399376780268,0.2112596413302905,63,0.9523809523809524,0.0476190476190476,0.9444444444444444,0.4375,0.946394630357186,华为 荣耀8 手机,华为,荣耀8,63,0.8422250345585838,0.8412698412698413,0.0952380952380952,0.0634920634920634,0.8883208438517556,87.93
5089253,60,59,0.9833333333333332,0.9522757994926582,0.108635320333263,59,0.9830508474576272,0.0169491525423728,0.9830508474576272,0.2941176470588235,0.9317082569652104,三星 k7 手机,三星,k7,60,0.8543040166298549,0.9166666666666666,0.0666666666666666,0.0166666666666666,0.9015481700499852,87.7
29196113704,46,44,0.9565217391304348,0.9824246872555126,0.0433044400512624,44,1.0,0.0,1.0,0.2,0.8662433801794817,小米 a22 手机,小米,a22,46,0.9262381850377374,0.9347826086956522,0.0,0.0652173913043478,0.9321072211732035,87.68
7479912,60,60,1.0,0.9427417183915774,0.1552293792934185,60,0.95,0.05,0.9833333333333332,0.3333333333333333,0.9354696617213984,华为 mate10 手机,华为,mate10,60,0.859189435839653,0.8333333333333334,0.05,0.1166666666666666,0.908403221766154,87.51
